@relation Lov_dataset

@attribute alchemy_taxonomies string
@attribute alchemy_taxonomies2 string
@attribute alchemy_taxonomies3 string
@attribute alchemy_concepts string
@attribute alchemy_concepts2 string
@attribute alchemy_concepts3 string
@attribute lov_category {'Archives, Catalogs, Classification systems','Methods and Protocols, Units, Measures',Protocols,Quality,Metadata,'RDF Data','Support vocabularies','Vocabularies, Languages and Terminologies',Geography,People,'Social organization','Timeline, Calendar','General and Upper Ontologies','Semantic Publishing and Referencing Ontologies','FRBR, RDA, FRAD and related vocabularies','Life Sciences',Multimedia,Events,Geometry,'The Academy','Tagging vocabularies','W3C Recommendations',E-Business,Industry,Food,'Press and News',PLM,'Music and Sound',Contracts,Services,'Social Semantic Desktop','Sustainability and environmental management',Security,'The Government','PROTON Ontologies','Image and Video',Travel,Recommandations,Health,'CSV Data',Games}

@data
'/health and fitness/therapy/physical therapy','/technology and computing/software/databases','/home and garden/home furnishings/sofas and chairs','Philosophy of life',Writing,'','CSV Data'
'/health and fitness/disease/autism and pdd','/society/crime/personal offense/human trafficking','/science/social science/history','Context awareness','','',People
'/technology and computing/software/databases','/technology and computing','/food and drink','Web Ontology Language','Semantic Web',Time,Quality
'/education/alumni and reunions','/sports/hunting and shooting','/business and industrial/energy/renewable energy/wind energy',Ontology,'Music genre',Concept,'Support vocabularies'
'','','','','','','General and Upper Ontologies'
/shopping/resources/coupons,'/automotive and vehicles/vehicle brands/fiat','/technology and computing/consumer electronics/radios',Code,'Source code','','Methods and Protocols, Units, Measures'
'/technology and computing/software/databases','/education/english as a second language','/hobbies and interests/reading','World Wide Web','Uniform Resource Identifier','Web browser','General and Upper Ontologies'
'/finance/accounting and auditing','/technology and computing/software','/technology and computing',Standardization,'','','Vocabularies, Languages and Terminologies'
'/technology and computing/software/databases','/education/language learning','/education/english as a second language','Resource Description Framework',Cognition,'','Social Semantic Desktop'
'/education/english as a second language','/technology and computing/software/databases','/hobbies and interests/reading',Data,Statistics,Mathematics,'Methods and Protocols, Units, Measures'
'/technology and computing/software/databases','/science/social science/history','/technology and computing/software','','','',Quality
/science/geography/cartography,/science/geography,'/technology and computing/programming languages/c and c++',GeoNames,'','',Geography
'/art and entertainment/shows and events/sports event','/business and industrial/hospitality industry/event planning','/business and industrial',Metaphysics,World,'Entity-relationship model','Press and News'
'/art and entertainment/visual art and design','/technology and computing/software/databases','/technology and computing/programming languages/java',Lexicography,'','','Archives, Catalogs, Classification systems'
'/hobbies and interests','/family and parenting/children',/finance/investing/options,Semantics,'Semantic Web','Cognitive linguistics',People
'/technology and computing/software/databases','/art and entertainment/music/recording industry','/business and industrial/chemicals industry/adhesives','Resource Description Framework',Lexicography,'','W3C Recommendations'
'/business and industrial/agriculture and forestry/aquaculture','/society/unrest and war','/technology and computing/software/databases',Ontology,'Web Ontology Language','Geopolitical ontology',Geography
'/art and entertainment/visual art and design/architecture','/law, govt and politics/government','','Enterprise architecture','Federal government of the United States','Federal Enterprise Architecture','The Government'
'/law, govt and politics/legal issues/human rights','/technology and computing/programming languages/java','/law, govt and politics/government/parliament','Creative Commons','Digital rights management','Lawrence Lessig',Metadata
'/shopping/retail/second-hand market','/hobbies and interests/games/board games and puzzles',/science/mathematics/arithmetic,'Semantic Web',Semantics,'Command-line interface','RDF Data'
'/technology and computing/software/databases','/technology and computing/software','/art and entertainment/visual art and design/design','Geospatial metadata','ISO standards','','Support vocabularies'
'/finance/accounting and auditing','/business and industrial/manufacturing',/society/welfare,'Object-oriented programming','ISO standards','',Geography
'/hobbies and interests/reading',/sports/olympics,'/education/english as a second language',Website,'World Wide Web',XML,'Timeline, Calendar'
'/law, govt and politics/government','/business and industrial/biomedical','','','','','The Government'
'','','','','','',Geometry
'/technology and computing/software/databases','','',Game,Games,Plato,Games
'/technology and computing/software/databases','/technology and computing/enterprise technology/data management','/business and industrial/biomedical','Controlled vocabulary',Ontology,Ontology,Metadata
'/art and entertainment/books and literature','/science/social science/linguistics/translation','/education/english as a second language',Language,Dialect,'','Vocabularies, Languages and Terminologies'
'/business and industrial/energy/renewable energy/fuel cell','','',Ontology,WordNet,'','PROTON Ontologies'
'/technology and computing/software/databases','/business and industrial/company/annual report','/technology and computing/software/desktop publishing','Philosophy of science','','','Social organization'
'/technology and computing/networking/network monitoring and management','/technology and computing/internet technology/ecommerce','/technology and computing/internet technology/web design and html','Content management system','','',Protocols
'/technology and computing/software/databases','','','','','','RDF Data'
/science/physics,'/business and industrial/energy/electricity','/technology and computing/hardware/computer components/chips and processors','Qualitative research','Units of measurement',Property,'Methods and Protocols, Units, Measures'
'/technology and computing/hardware/computer components/chips and processors','/business and industrial/business operations/management/project management','','Software architecture','','','The Academy'
'/education/english as a second language','/technology and computing/programming languages/java','/hobbies and interests/reading',Statistics,Data,Sociology,'Methods and Protocols, Units, Measures'
'/business and industrial','/technology and computing/software/databases','/hobbies and interests/reading','Substance theory','Controlled vocabulary','Earthquake engineering',Metadata
/science/mathematics/algebra,/science/mathematics/statistics,'/business and industrial/business operations/business plans','','','','Support vocabularies'
'/technology and computing/programming languages/visual basic','/hobbies and interests/reading','/education/english as a second language',Publishing,'','',Quality
'/travel/tourist facilities/hotel','','',Ontology,Concept,'',Geography
'/technology and computing/programming languages/java','/education/english as a second language','/technology and computing/software/databases','Resource Description Framework','','','W3C Recommendations'
'/technology and computing/programming languages/visual basic','/law, govt and politics/government/legislative','/technology and computing/programming languages/c and c++','Information architecture','','','Social Semantic Desktop'
'/technology and computing/programming languages/java','/hobbies and interests/reading','/law, govt and politics/legal issues/human rights',RSS,'','',Protocols
'/business and industrial/business operations/management/business process','/technology and computing/programming languages/java','','','','','Methods and Protocols, Units, Measures'
'/law, govt and politics/legal issues/legislation/family laws','/hobbies and interests/reading',/society,'','','',Multimedia
'/hobbies and interests/arts and crafts/crochet','/technology and computing/software/databases','/technology and computing/computer security/antivirus and malware',Time,'','','Timeline, Calendar'
'/technology and computing','/science/social science/linguistics','/technology and computing/internet technology/social network','Semantic Web','Model theory','','Tagging vocabularies'
'/health and fitness/nutrition','/law, govt and politics','/family and parenting/children','Periodic table','Alkali metal',Potassium,'FRBR, RDA, FRAD and related vocabularies'
/science/mathematics/geometry,'/health and fitness/disorders/mental disorder/a.d.d.','','','','',Geometry
'/hobbies and interests/reading',/society,'',License,Licenses,'',Metadata
/society,'/hobbies and interests/reading','/technology and computing',Ontology,Logic,'Sentiment analysis',Quality
'/law, govt and politics','','','','','','Support vocabularies'
'/technology and computing','/business and industrial','/technology and computing/software/databases','Georg Wilhelm Friedrich Hegel','Semantic Web','',Events
'/technology and computing/software/databases','','','Greek loanwords','Controlled vocabulary',Value,Metadata
'/technology and computing/software/databases','/art and entertainment/visual art and design/architecture','/technology and computing/enterprise technology/data management','Dublin Core',Metadata,'Resource Description Framework',Metadata
'/law, govt and politics/armed forces/marines','/travel/tourist destinations/united kingdom','/law, govt and politics/legal issues/civil law/copyright','The Marine',Ontology,'','Life Sciences'
'/education/english as a second language','/hobbies and interests/reading','/business and industrial/business operations/business plans','Open content','','','Social organization'
'/business and industrial/business operations/human resources','/technology and computing/networking/network monitoring and management','/technology and computing/internet technology/email',Website,Internet,'World Wide Web',Protocols
/society,'/education/english as a second language','/technology and computing/internet technology/social network',Metadata,'Resource Description Framework',Sociology,'Social organization'
'/hobbies and interests/reading','/technology and computing/software/databases','/technology and computing/programming languages/java','Controlled vocabulary','','',Metadata
'/art and entertainment/visual art and design/design/industrial and product design','/art and entertainment/visual art and design','/technology and computing/software/graphics software',Self-realization,'Nigel Godrich','','Support vocabularies'
'/technology and computing/internet technology/social network',/science/mathematics/algebra,'/technology and computing/hardware/computer','Web page','Object-oriented programming','Semantic Web',Protocols
'/society/social institution/marriage','/finance/investing/futures trading','/family and parenting/parenting teens','','','','Archives, Catalogs, Classification systems'
'/technology and computing/software/databases','/education/english as a second language','/technology and computing/programming languages/javascript','','','',Metadata
'/technology and computing/software/databases','/hobbies and interests/collecting','','Data modeling','Data element','','Archives, Catalogs, Classification systems'
'/business and industrial/business operations/human resources','/technology and computing','/society/crime/property crime/larceny','World Wide Web','Web server','Hypertext Transfer Protocol',Quality
'/technology and computing/enterprise technology/data management','/technology and computing/software/databases','/hobbies and interests/collecting','Quality control','','',Quality
'/education/language learning','/education/english as a second language','/law, govt and politics/government','Computer program','Open content','',Protocols
'/technology and computing/programming languages/javascript','','','','','','RDF Data'
'/education/english as a second language',/society/work/retirement,'/law, govt and politics/government/courts and judiciary','Civil service','','','Methods and Protocols, Units, Measures'
'/technology and computing/software/databases','/technology and computing/programming languages/java','/art and entertainment/visual art and design','Encoded Archival Description','Archival science','','Archives, Catalogs, Classification systems'
/science/mathematics/geometry,/society,'/hobbies and interests/reading','','','',Geometry
'/technology and computing/software/databases','/business and industrial/aerospace and defense/space technology','/education/english as a second language','Official statistics','Social research','Quantitative research','Methods and Protocols, Units, Measures'
'/technology and computing/internet technology/web search','/technology and computing','/hobbies and interests/reading',Geodesy,Latitude,'Geodetic system',Geography
'/technology and computing/computer security/network security','/technology and computing/hardware/computer','/technology and computing/computer security','Information architecture','','',Security
'/art and entertainment/movies and tv/movies/reviews','/technology and computing/operating systems/linux','/technology and computing','Semantic Web','Resource Description Framework',Activity,'Timeline, Calendar'
'/finance/investing/funds/exchange traded funds','/technology and computing/software/databases','/technology and computing',Ontology,'','','General and Upper Ontologies'
'','','','Everyday Life','Personal life','Very Large Array',People
'/health and fitness/drugs','/technology and computing/hardware/computer components/chips and processors','/art and entertainment/radio',Semantics,BBC,Ontology,'General and Upper Ontologies'
'/art and entertainment/theatre','/art and entertainment/theatre/theatre awards','/art and entertainment/music/music reference/music composition and theory',Theatre,'Outline of theatre','',Events
'/science/social science/philosophy','','','Web 2.0',Hyperlink,'Semantic Web','Tagging vocabularies'
'/education/english as a second language','/technology and computing/software/databases','/technology and computing/internet technology/web search','Mathematical terminology','Resource Description Framework','','Tagging vocabularies'
'/art and entertainment/visual art and design/architecture','/hobbies and interests/collecting','/technology and computing/internet technology/isps',Ontology,Design,Chronology,'Timeline, Calendar'
'/travel/transports/public transport','/art and entertainment/music','/art and entertainment/shows and events/festival','Information architecture','Road transport','',Travel
'/finance/personal finance/financial planning/asset and portfolio management','/business and industrial','/technology and computing/software','','','',Metadata
'/family and parenting','/health and fitness/nutrition','/law, govt and politics/government/government agencies','Personality psychology','','','FRBR, RDA, FRAD and related vocabularies'
/science,'','',Physics,Time,'Scientific method','Methods and Protocols, Units, Measures'
/science/mathematics/geometry,'','',Geometry,'','',Geometry
'/law, govt and politics/government/parliament','','','United Kingdom','Parliament of the United Kingdom',Wales,'The Government'
'/technology and computing/software/databases',/science,/science/geography,Life,'Biological classification','','Life Sciences'
'/automotive and vehicles/vehicle brands/volkswagen','/automotive and vehicles/commercial vehicles','/hobbies and interests/reading',Volkswagen,Automobile,'',Industry
'/technology and computing/software/databases','/law, govt and politics','',Citation,Bibliography,'','Semantic Publishing and Referencing Ontologies'
'/technology and computing/software/databases','/technology and computing/programming languages/java','','','','','FRBR, RDA, FRAD and related vocabularies'
'/technology and computing/software/databases','/business and industrial/advertising and marketing/marketing','/business and industrial','Web Ontology Language','','',Services
'/health and fitness/disease/cancer','/art and entertainment/books and literature/reference books','/education/teaching and classroom resources/lesson plans','','','','Support vocabularies'
'/technology and computing/software/databases','/technology and computing/software','/art and entertainment/visual art and design/design','Data management','Geospatial metadata','ISO standards',Quality
'/society/crime/property crime/usury',/science/mathematics/geometry,'/art and entertainment/visual art and design/architecture','','','',Geography
'/technology and computing/programming languages','/business and industrial/business operations/human resources','','','','','Vocabularies, Languages and Terminologies'
'/technology and computing/consumer electronics/audio equipment','/art and entertainment/books and literature','/hobbies and interests/reading',Ontology,Concept,'','Music and Sound'
'/technology and computing/electronic components','/technology and computing/internet technology/social network','/technology and computing/networking/network monitoring and management',Ontology,Sensor,'Wireless sensor network','Methods and Protocols, Units, Measures'
'/travel/tourist destinations/europe','/travel/tourist destinations/australia and new zealand','','Coordinated Universal Time','Greenwich Mean Time','Universal Time','Timeline, Calendar'
'/technology and computing/computer certification','/technology and computing/enterprise technology/data management','/technology and computing/software/databases','Technical communication',Metadata,'Breed Groups',Metadata
'/technology and computing/internet technology/web search','/business and industrial/hospitality industry/event planning','/business and industrial/advertising and marketing/marketing',Being,'','',Events
'/art and entertainment/radio','/art and entertainment/movies and tv/documentaries','/news/international news','Semantic Web','Web page',Website,'Press and News'
'/technology and computing/software/databases','/technology and computing/programming languages/java','','','','','Archives, Catalogs, Classification systems'
'/technology and computing/programming languages/visual basic','/education/english as a second language','/hobbies and interests/reading','The Core','','',Quality
/society,/science,'/education/english as a second language','Design pattern','','','RDF Data'
'/technology and computing','/law, govt and politics/government','/education/english as a second language','','','',People
'/art and entertainment/visual art and design/design','/technology and computing','/business and industrial','Open content','Philosophical logic','','RDF Data'
'/business and industrial/business operations/management/business process','/finance/personal finance/financial planning/asset and portfolio management','/education/homework and study tips','Information technology management','','',Services
'/art and entertainment/music/music reference/music composition and theory','/health and fitness/exercise','',Time,Ontology,'','Timeline, Calendar'
'/technology and computing/software/databases','/law, govt and politics','/education/english as a second language',Vocabulary,'','',Geography
'','','','','','','Timeline, Calendar'
/science/mathematics/geometry,'/science/phyiscs/atomic physics','/home and garden/bed and bath/bedroom/beds and headboards','Units of measurement',Measurement,'Physical quantity','Methods and Protocols, Units, Measures'
'/technology and computing/software','/art and entertainment/visual art and design/design','/business and industrial/business operations/management/project management','Computer program','Enterprise content management','Content management system',PLM
'/technology and computing/software/databases','/health and fitness/alternative medicine/holistic healing',/science/biology/botany,'Controlled vocabulary',Taxonomy,Ontology,'Archives, Catalogs, Classification systems'
/pets/birds,'','','Web Ontology Language','','','Archives, Catalogs, Classification systems'
'/technology and computing',/science/mathematics/algebra,/science/mathematics/geometry,'Semantic Web',Semantics,Ontology,Recommandations
'/science/phyiscs/atomic physics',/science/ecology,/science/biology/botany,Observation,'','','Life Sciences'
'/business and industrial/business operations/business plans','/law, govt and politics','/family and parenting/children',Metaphysics,'','','Methods and Protocols, Units, Measures'
'/real estate/buying and selling homes','/technology and computing/software','/technology and computing/hardware/computer','Wiki software','Comparison of wiki software','Systems engineering',PLM
'/technology and computing/software/databases',/pets/birds,'',Observation,'Geographic information system','Observations and Measurements','Methods and Protocols, Units, Measures'
'/science/social science/linguistics','','',Linguistics,Syntax,'Linguistic description','Vocabularies, Languages and Terminologies'
'/technology and computing/software','/technology and computing/software/databases',/pets/birds,'Geospatial metadata','ISO standards','',Geometry
'/technology and computing/software/databases','/business and industrial/biomedical','/business and industrial','Semantic Web','Gramophone record',Ontology,'Semantic Publishing and Referencing Ontologies'
'/law, govt and politics/legal issues/legislation/family laws','/business and industrial/advertising and marketing/public relations','/news/national news',Time,Ontology,'Representation term','Timeline, Calendar'
'/art and entertainment/shows and events/concert','/hobbies and interests/reading',/society,'','','',E-Business
'/technology and computing/consumer electronics','','','Consumer electronics','','',Industry
'/finance/accounting and auditing','/technology and computing/software','/business and industrial/manufacturing','Geospatial metadata','ISO standards','',Geography
'/science/biology/zoology/endangered species','/travel/tourist destinations/africa','/health and fitness/disease','2000s music groups','','','Sustainability and environmental management'
'/technology and computing/computer certification','/science/computer science/cryptography','',Certificate,Diploma,'',Quality
'/food and drink/beverages/alcoholic beverages/cocktails and beer','/food and drink/beverages/alcoholic beverages/wine','/hobbies and interests/reading',Whisky,'','',Food
/science/mathematics/geometry,'/technology and computing/software/databases','/technology and computing/programming languages/java',Region,'','',Geometry
'/education/english as a second language','/technology and computing/software/databases',/science/mathematics/statistics,Data,Statistics,'','Methods and Protocols, Units, Measures'
'/technology and computing/software/databases','/technology and computing/programming languages/java','/technology and computing','Functional Requirements for Bibliographic Records','Requirements analysis','','FRBR, RDA, FRAD and related vocabularies'
/science/geology,/science,'','Geologic time scale',Stratigraphy,Paleontology,'Timeline, Calendar'
/society,'/hobbies and interests/reading',/education/school,Biography,'','',People
'/law, govt and politics/law enforcement/fire department','/education/english as a second language','/hobbies and interests/reading',Communication,Information,Media,'Social organization'
'/health and fitness/nutrition','/business and industrial/advertising and marketing/marketing','/business and industrial','Transition metal','Periodic table',D-block,'FRBR, RDA, FRAD and related vocabularies'
'/health and fitness/nutrition','/society/social institution/marriage','/health and fitness/disease/cholesterol','The Various','','','FRBR, RDA, FRAD and related vocabularies'
'/art and entertainment/visual art and design/architecture','/art and entertainment/shows and events/conference','/technology and computing','Dublin Core',Metadata,'Resource Description Framework','General and Upper Ontologies'
'/technology and computing/software/databases','/technology and computing/hardware/computer networking/router','',Identifiers,Identifier,'Global Trade Item Number','Support vocabularies'
'/finance/personal finance/financial planning/asset and portfolio management','/technology and computing/software/databases','/art and entertainment/books and literature',Asset,'','','Press and News'
'/business and industrial/advertising and marketing/public relations','/society/social institution/marriage','/family and parenting/parenting teens',Relationship,'Interpersonal relationship','Personality psychology',People
/science/medicine,'/health and fitness','/technology and computing','World Wide Web','Semantic Web','Health care',Health
'/science/computer science/cryptography','/business and industrial/company/annual report','/technology and computing/hardware',Cryptography,Algorithm,'',Security
'/science/biology/zoology/endangered species','/art and entertainment/books and literature','/hobbies and interests/reading',Species,Biology,'','Life Sciences'
'/hobbies and interests/inventors and patents','/law, govt and politics/government/government agencies','/law, govt and politics/government/state and local government',Object,Ontology,Abstraction,'Press and News'
'/technology and computing/programming languages/java','/health and fitness/disease/aids and hiv','/business and industrial/business operations/management/project management','The Various','','','The Academy'
'/technology and computing/software/databases','/food and drink/health and lowfat cooking','/food and drink',Semantics,'Class diagram','Software requirements',Food
'/technology and computing/software/databases','/technology and computing/software/graphics software','/technology and computing','Open Archives Initiative','Archival science','Open Archives Initiative Object Reuse and Exchange','Archives, Catalogs, Classification systems'
'/technology and computing/software/databases','/technology and computing','/technology and computing/programming languages/java','Access control','Resource Description Framework','',Protocols
'/hobbies and interests/reading',/society,'/technology and computing/operating systems/linux',Calendar,'','','Timeline, Calendar'
'/law, govt and politics/legal issues/legislation/family laws','/business and industrial/advertising and marketing/public relations','/law, govt and politics/government/state and local government',Trait,'','',Multimedia
'/hobbies and interests/reading','/education/homework and study tips','',Vocabulary,'','',Metadata
/science/geography,'/law, govt and politics/legal issues/civil rights','/law, govt and politics/legal issues/civil law',Pytheas,'Great Britain','Kingdom of Great Britain',Geography
'/technology and computing/hardware/computer/desktop computer','/hobbies and interests/magic and illusion','/law, govt and politics/armed forces/army',VCard,KDE,'','Social Semantic Desktop'
'/law, govt and politics',/science/biology,'/shopping/resources/warranties and service contracts','Open content','','','PROTON Ontologies'
'/technology and computing/hardware/computer networking/router','/technology and computing','/technology and computing/software/databases','Configuration management','','',E-Business
'/science/computer science/information science','/technology and computing/software/databases','/art and entertainment/books and literature','Controlled vocabulary',Terminology,Tag,'W3C Recommendations'
'/technology and computing/software/databases','/travel/tourist destinations/united kingdom','/art and entertainment/visual art and design/design','ISO 3166-1','ISO 3166-1 alpha-3','ISO 3166-1 alpha-2',Geography
'/art and entertainment/visual art and design/painting',/science/physics,'/law, govt and politics/legal issues/human rights','','','',Quality
'/law, govt and politics/espionage and intelligence/surveillance','/technology and computing','/technology and computing/computer security/network security',2G,Internet,3G,Security
'/art and entertainment/books and literature','/business and industrial/biomedical','/business and industrial/publishing','Semantic Web',Being,Object,'Semantic Publishing and Referencing Ontologies'
'/education/english as a second language','/hobbies and interests/reading','/art and entertainment/books and literature','','','',Multimedia
'/home and garden/appliances/refrigerators and freezers','/home and garden/appliances/microwaves','',Refrigerator,'Absorption refrigerator','',Industry
'/business and industrial/business operations/human resources','/technology and computing/software/databases','/business and industrial','World Wide Web',Metadata,'Mass media',Multimedia
'/business and industrial/business operations/management/business process','/technology and computing','/art and entertainment/visual art and design/architecture',Mathematics,'Parallel postulate','','Sustainability and environmental management'
'/technology and computing/software/databases',/science/mathematics/algebra,'/technology and computing/programming languages/java','','','','RDF Data'
'/technology and computing/technological innovation','/technology and computing','/business and industrial/business operations/human resources/payroll services',Innovation,'','',Industry
'/technology and computing/networking/vpn and remote access','/technology and computing/networking/network monitoring and management','/law, govt and politics/legal issues/human rights','Design management','','',Protocols
'/technology and computing/software/databases','/art and entertainment/books and literature','',Semantics,'Semantic Web',Citation,'Archives, Catalogs, Classification systems'
'/art and entertainment/humor','/technology and computing/programming languages/javascript','/technology and computing/software/databases','Uniform Resource Identifier','Entity-relationship model','Domain name',Protocols
'/science/weather/meteorological disaster/hurricane','/business and industrial','/technology and computing','Semantic Web','Wireless sensor network','','Methods and Protocols, Units, Measures'
'/technology and computing/software/databases','/technology and computing/consumer electronics/camera and photo equipment/cameras and camcorders/cameras','/education/english as a second language','Exchangeable image file format','','','Image and Video'
'/education/english as a second language','/technology and computing/software/databases','/hobbies and interests/reading','Semantic Web','World Wide Web Consortium standards','RDF Schema','RDF Data'
'/society/unrest and war','/art and entertainment/comics and animation/comics','/travel/tourist destinations/united kingdom','United Kingdom','Doctor Who','Northern Europe',Events
'/hobbies and interests/reading','/education/english as a second language','/technology and computing/software/databases',Vocabulary,'','',Metadata
'/technology and computing/internet technology/social network','/technology and computing/programming languages/visual basic','/technology and computing/programming languages/c and c++','Nigel Godrich','','','Social organization'
/education,'/technology and computing','/education/graduate school/college','Web Ontology Language','Academic elitism','','The Academy'
'/technology and computing/software/databases','','','Unified Modeling Language',Mathematics,'','FRBR, RDA, FRAD and related vocabularies'
'/food and drink','/technology and computing/software/databases','/food and drink/cuisines/american cuisine',Food,'','',Food
'/health and fitness/disease/heart disease','/health and fitness/disease',/news,'','','','Press and News'
'/business and industrial/business operations/management/business process','/technology and computing','/science/computer science/distributed systems','Knowledge management','Knowledge engineering',Knowledge,'PROTON Ontologies'
/finance/investing/options,'/technology and computing/hardware/computer networking/router','/health and fitness/addiction/alcoholism',Globalization,Transport,'',Industry
'/technology and computing/consumer electronics/camera and photo equipment/binoculars','/technology and computing/consumer electronics/tv and video equipment/projectors',/science/physics/optics,'','','','Image and Video'
'/business and industrial/publishing','/technology and computing/software/desktop publishing','/business and industrial/biomedical',Time,'Semantic Web',Ontology,'Semantic Publishing and Referencing Ontologies'
'/technology and computing/programming languages/visual basic','/art and entertainment/shows and events/conference','/technology and computing',Metadata,Type,'','Archives, Catalogs, Classification systems'
'/finance/personal finance/financial planning/retirement and pension','/art and entertainment/books and literature',/education,'Academic publishing',Writing,Article,'The Academy'
'/technology and computing/internet technology/web search','/technology and computing/software/databases','',Index,'','',Events
'/technology and computing/software/databases','/technology and computing',/science,'Technical communication','','','RDF Data'
'/hobbies and interests/reading',/society,'',Semiotics,'','','Vocabularies, Languages and Terminologies'
'/education/english as a second language','/education/teaching and classroom resources/lesson plans','/family and parenting/children',Education,Teacher,Teaching,'The Academy'
'/family and parenting/children','/hobbies and interests/reading','/health and fitness/disease/epilepsy',Being,'','','Timeline, Calendar'
'/science/social science/linguistics','/technology and computing/programming languages','/technology and computing/programming languages/javascript','ISO standards','','','Vocabularies, Languages and Terminologies'
'/technology and computing/software/databases',/science/mathematics/algebra,/science/mathematics/geometry,Perception,Abstraction,Information,Services
'/art and entertainment/books and literature','/science/social science/linguistics/translation','/science/social science/linguistics','German language','French language','English language',Contracts
'/hobbies and interests/reading',/society,'/technology and computing/operating systems','','','',Travel
'/technology and computing/computer security/network security','/technology and computing/networking/vpn and remote access','/technology and computing/computer security/antivirus and malware','','','',Protocols
'/technology and computing/programming languages/javascript','/technology and computing/internet technology','/education/english as a second language',XHTML,'','',Protocols
'/technology and computing/electronic components','/technology and computing/software/databases','/art and entertainment/books and literature','','','','Semantic Publishing and Referencing Ontologies'
